Approved symbol	NCBI Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)	UniProt ID(supplied by UniProt)
LINC02654	102724039	ENSG00000226140	
LINC02655	105378386	ENSG00000231082	
LINC02656	399716	ENSG00000212743	
LINC02658	102724264	ENSG00000234973	
LINC02659	105378277	ENSG00000236769	
LINC02660	101927904	ENSG00000226005	
LINC02661	105378478	ENSG00000223381	
LINC02662	105376348	ENSG00000231326	
LINC02663	105376402	ENSG00000228636	
LINC02664	101929352	ENSG00000272381	
LINC02665	105376386	ENSG00000223581	
LINC02666	107984280	ENSG00000283141	
LINC02667	728327	ENSG00000224190	
LINC02668	105376354	ENSG00000226762	
LINC02669	101927880	ENSG00000233321	
LINC02670	101928298	ENSG00000224788	
LINC02671	101928887	ENSG00000224714	
LINC02672	105378309	ENSG00000227121	
LINC02673	101929180	ENSG00000260151	
LINC02674	102724627	ENSG00000234952	
LINC02675	112267862	ENSG00000264404	
LINC02676	105755953	ENSG00000234752	
LINC02677	102723629	ENSG00000228951	
LINC02678	105376383	ENSG00000231483	
LINC02679	105378385	ENSG00000226676	
LINC02680	105376463	ENSG00000285737	
LINC02681	101927419	ENSG00000229649	
LINC02682	105376570	ENSG00000254661	
LINC02683	101928132	ENSG00000254438	
LINC02684	105369589	ENSG00000255512	
LINC02685	221122	ENSG00000254654	
LINC02686	105376594	ENSG00000254594	
LINC02687	399886	ENSG00000255267	
LINC02688	101927503	ENSG00000254872	
LINC02689	105376513	ENSG00000285985	
LINC02690	105376658	ENSG00000255226	
LINC02691	145195	ENSG00000258913	
LINC02692	101928638	ENSG00000198454	
LINC02693	339263	ENSG00000212719	A8MQB3
LINC02694	400359	ENSG00000175779	Q8NAA6
LINC02695	107984426	ENSG00000254699	
LINC02696	101928812	ENSG00000254427	
LINC02697	105369586	ENSG00000255327	
LINC02698	105369512	ENSG00000256717	
LINC02699	105376596	ENSG00000254456	
LINC02700	105369436	ENSG00000255666	
LINC02701	105369364	ENSG00000250508	
LINC02702	101929011	ENSG00000237937	
LINC02703	102724165	ENSG00000257067	
LINC02704	105376647	ENSG00000255079	
LINC02705	105369319	ENSG00000254952	
LINC02706	105369584	ENSG00000255344	
LINC02707	105376623	ENSG00000255427	
LINC02708	100505570	ENSG00000227306	
LINC02709	440028	ENSG00000245522	
LINC02710	105376662	ENSG00000255269	
LINC02711	105369423	ENSG00000255183	
LINC02712	101929497	ENSG00000273409	
LINC02713	105369454	ENSG00000255502	
LINC02714	729305	ENSG00000251226	
LINC02715	105369482	ENSG00000254659	
LINC02716	374387	ENSG00000205106	
LINC02717	105369588	ENSG00000285735	
LINC02718	105376592	ENSG00000255418	
LINC02719	105369473	ENSG00000254580	
LINC02720	101928944	ENSG00000255178	
LINC02721	105376620	ENSG00000255133	
LINC02722	105376619	ENSG00000255169	
LINC02723	107984366	ENSG00000231680	
LINC02724	100996455	ENSG00000181908	
LINC02725	105369563	ENSG00000273415	
LINC02726	105376593	ENSG00000255193	
LINC02727	105369541	ENSG00000254823	
LINC02728	101928865	ENSG00000251323	
LINC02729	102723330	ENSG00000255335	
LINC02730	107984414	ENSG00000255406	
LINC02731	100128239	ENSG00000204241	
LINC02732	105369486	ENSG00000254416	
LINC02733	100507521	ENSG00000255553	
LINC02734	105369413	ENSG00000255382	
LINC02735	101927120	ENSG00000255433	
LINC02736	105369346	ENSG00000279243	
LINC02737	105369443	ENSG00000256684	
LINC02739	105369317	ENSG00000255008	
LINC02740	100507205	ENSG00000255109	
LINC02741	105376640	ENSG00000255388	
LINC02742	105376603	ENSG00000249867	
LINC02743	646522	ENSG00000255258	
LINC02744	105369528	ENSG00000254863	
LINC02745	101928591	ENSG00000255300	
LINC02746	105369431	ENSG00000282916	
LINC02747	105379407	ENSG00000255774	
LINC02748	105369427	ENSG00000255187	
LINC02749	100506082	ENSG00000254480	
LINC02750	105369150	ENSG00000254518	
LINC02751	105376569	ENSG00000254946	
LINC02752	105376550	ENSG00000254401	
LINC02753	101928443	ENSG00000248844	
LINC02754	105369360	ENSG00000251637	
LINC02755	105376605	ENSG00000254530	
LINC02756	105369428	ENSG00000255332	
LINC02757	101928813	ENSG00000255363	
LINC02758	105376602	ENSG00000248990	
LINC02759	103312105	ENSG00000255175	
LINC02760	105376633	ENSG00000254516	
LINC02761	107984359	ENSG00000255362	
LINC02762	283140	ENSG00000250303	
LINC02763	101928823	ENSG00000254968	
LINC02764	387810	ENSG00000255484	
LINC02765	105373110	ENSG00000234476	
LINC02766	105376744	ENSG00000229484	
LINC02767	105372883	ENSG00000284237	
LINC02768	105373212	ENSG00000229291	
LINC02769	105372891	ENSG00000259815	
LINC02770	107985457	ENSG00000228215	
LINC02771	105372907	ENSG00000224535	
LINC02772	105371455	ENSG00000271736	
LINC02773	102723761	ENSG00000237980	
LINC02774	339529	ENSG00000226828	
LINC02775	105372911	ENSG00000283518	
LINC02776	105371620	ENSG00000224977	
LINC02777	105378753	ENSG00000232453	
LINC02778	105378760	ENSG00000238242	
LINC02779	105372929	ENSG00000231529	
LINC02780	105376673	ENSG00000284668	
LINC02781	105376680	ENSG00000284674	
LINC02782	105376681	ENSG00000231510	
LINC02783	400743	ENSG00000204362	
LINC02784	105378734	ENSG00000235741	
LINC02785	107985124	ENSG00000226822	
LINC02786	105378655	ENSG00000284623	
LINC02787	105378852	ENSG00000229201	
LINC02788	105378855	ENSG00000285532	
LINC02789	400800	ENSG00000231718	
LINC02790	102723661	ENSG00000237435	
LINC02791	105378786	ENSG00000235446	
LINC02792	107983999	ENSG00000285462	
LINC02793	105376879	ENSG00000285823	
LINC02794	105379778	ENSG00000226133	
LINC02795	105378824	ENSG00000285210	
LINC02796	339468	ENSG00000227016	
LINC02797	105378799	ENSG00000285808	
LINC02798	107985194	ENSG00000227082	
LINC02799	112268275	ENSG00000235887	
LINC02800	284632	ENSG00000230023	
LINC02801	101927844	ENSG00000284240	
LINC02802	100996732	ENSG00000232527	
LINC02803	107985228	ENSG00000227740	
LINC02804	105371228	ENSG00000274372	
LINC02805	100505824	ENSG00000232265	
LINC02806	284561	ENSG00000238107	
LINC02808	105378712	ENSG00000284696	
LINC02809	100506571	ENSG00000276255	
LINC02810	107984028	ENSG00000236648	
LINC02811	107985740	ENSG00000284678	
LINC02812	107984957	ENSG00000230138	
LINC02813	107985338	ENSG00000225334	
LINC02814	112267873	ENSG00000236975	
LINC02815	105373158	ENSG00000282111	
LINC02816	105371638	ENSG00000225857	
LINC02817	400804	ENSG00000234754	
LINC02818	107985229	ENSG00000231966	
LINC02819	105371462	ENSG00000224943	
LINC02820	105369876	ENSG00000258815	
LINC02821	105369826	ENSG00000257139	
LINC02822	102724834	ENSG00000286021	
LINC02823	105369897	ENSG00000258100	
LINC02824	105370060	ENSG00000255998	
LINC02825	283435	ENSG00000256494	
LINC02826	105370057	ENSG00000275212	
LINC02827	105369606	ENSG00000236908	
LINC02828	105374978	ENSG00000224164	
LINC02829	105375009	ENSG00000229274	
LINC02830	105375486	ENSG00000224899	
LINC02831	102724373	ENSG00000224173	
LINC02832	105373886	ENSG00000227308	
LINC02833	105370629	ENSG00000258742	
LINC02834	105376124	ENSG00000285686	
LINC02835	105377256	ENSG00000285711	
LINC02836	105377922	ENSG00000237567	
LINC02837	101928144	ENSG00000264464	
LINC02838	105375273	ENSG00000285536	
LINC02839	105375929	ENSG00000254123	
LINC02840	105378065	ENSG00000224893	
LINC02841	105372360	ENSG00000267407	
LINC02842	101929628	ENSG00000254119	
LINC02843	286238	ENSG00000228189	
LINC02844	105375679	ENSG00000253679	
LINC02845	105375680	ENSG00000253644	
LINC02846	105376323	ENSG00000260193	
LINC02847	105375823	ENSG00000253702	
LINC02848	107986806	ENSG00000226581	
LINC02849	105375622	ENSG00000285768	
LINC02850	101928271	ENSG00000236436	
LINC02851	105375968	ENSG00000229611	
LINC02852	105370985	ENSG00000285866	
LINC02853	100507480	ENSG00000259245	
LINC02854	107986739	ENSG00000238131	
LINC02855	105375732	ENSG00000254209	
LINC02856	112268216	ENSG00000285594	
LINC02857	107986618	ENSG00000230852	
LINC02858	105371113	ENSG00000285869	
LINC02859	101928316		
LINC02860	285941	ENSG00000222004	
LINC02861	102724927	ENSG00000262185	
LINC02862	115409987	ENSG00000237571	
LINC02863	102723741	ENSG00000238160	
LINC02864	400655	ENSG00000263711	
LINC02865	116435283	ENSG00000229922	
LINC02866	105379386	ENSG00000253665	
LINC02867	105371184	ENSG00000260394	
LINC02868	388667	ENSG00000203864	
LINC02869	440714	ENSG00000228208	
LINC02870	170393	ENSG00000180066	
LINC02871	728434	ENSG00000125899	
LINC02872	401535	ENSG00000204446	A2RU37
LINC02873	283171	ENSG00000175728	
LINC02874	283403	ENSG00000257137	
LINC02875	388407	ENSG00000187013	Q86X59
LINC02876	100506650	ENSG00000227011	F2Z3M2
LINC02877	152118	ENSG00000237787	P0CE67
LINC02878	286076	ENSG00000181097	
LINC02880	285759	ENSG00000175967	
LINC02881	100130539	ENSG00000277288	B7Z368
LINC02882	100507377		
LINC02883	101929679		
LINC02884	105378909		
LINC02885	101926957		
LINC02886	117134599		
LINC02887	105377826		
LINC02888	102659288		
LINC02889	101927630		
LINCADL	107986443	ENSG00000287148	
LINCMD1	101154644	ENSG00000225613	
LINGO1	84894	ENSG00000169783	Q96FE5
LINGO1-AS1	253044	ENSG00000259666	
LINGO1-AS2	101929478	ENSG00000259281	
LINGO2	158038	ENSG00000174482	Q7L985
LINGO3	645191	ENSG00000220008	P0C6S8
LINGO4	339398	ENSG00000213171	Q6UY18
LINP1	108570035	ENSG00000223784	
LINS1	55180	ENSG00000140471	Q8NG48
LIPA	3988	ENSG00000107798	P38571
LIPB	3989		
LIPC	3990	ENSG00000166035	P11150
LIPC-AS1	101928694	ENSG00000259293	
LIPD			
LIPE	3991	ENSG00000079435	Q05469
LIPE-AS1	100996307	ENSG00000213904	
LIPF	8513	ENSG00000182333	P07098
LIPG	9388	ENSG00000101670	Q9Y5X9
LIPH	200879	ENSG00000163898	Q8WWY8
LIPI	149998	ENSG00000188992	Q6XZB0
LIPJ	142910	ENSG00000204022	Q5W064
LIPK	643414	ENSG00000204021	Q5VXJ0
LIPM	340654	ENSG00000173239	Q5VYY2
LIPN	643418	ENSG00000204020	Q5VXI9
LIPN3L			
LIPT1	51601	ENSG00000144182	Q9Y234
LIPT1P1	100131188	ENSG00000229975	
LIPT2	387787	ENSG00000175536	A6NK58
LITAF	9516	ENSG00000189067	Q99732
LITAFD	101929989	ENSG00000283516	A0A1B0GVX0
LIVAR	102724895	ENSG00000266304	
LIX1	167410	ENSG00000145721	Q8N485
LIX1-AS1	101926893	ENSG00000251513	
LIX1L	128077	ENSG00000271601	Q8IVB5
LIX1L-AS1	105371260	ENSG00000234222	
LKAAEAR1	198437	ENSG00000171695	Q8TD35
LKP			
LLCDL1			
LLCDL2			
LLCDL3			
LLCFC1	135927	ENSG00000165131	Q96L11
LLGL1	3996	ENSG00000131899	Q15334
LLGL2	3993	ENSG00000073350	Q6P1M3
LLP			
LLPH	84298	ENSG00000139233	Q9BRT6
LLPH-DT	103625681	ENSG00000239335	
LLPHP1	106480685	ENSG00000270793	
LLPHP2	106480300	ENSG00000235514	
LLPHP3	646644		
LMAN1	3998	ENSG00000074695	P49257
LMAN1L	79748	ENSG00000140506	Q9HAT1
LMAN2	10960	ENSG00000169223	Q12907
LMAN2L	81562	ENSG00000114988	Q9H0V9
LMBR1	64327	ENSG00000105983	Q8WVP7
LMBR1L	55716	ENSG00000139636	Q6UX01
LMBRD1	55788	ENSG00000168216	Q9NUN5
LMBRD2	92255	ENSG00000164187	Q68DH5
LMCD1	29995	ENSG00000071282	Q9NZU5
LMCD1-AS1	100288428	ENSG00000227110	
LMF1	64788	ENSG00000103227	Q96S06
LMF1-AS1	101929387	ENSG00000260439	
LMF2	91289	ENSG00000100258	Q9BU23
LMLN	89782	ENSG00000185621	Q96KR4
LMLN-AS1	100873947	ENSG00000232832	
LMLN2	100128908	ENSG00000283654	A0A1B0GTW7
LMN1			
LMN2			
LMNA	4000	ENSG00000160789	P02545
LMNB1	4001	ENSG00000113368	P20700
LMNB1-DT	102723557	ENSG00000251072	
LMNB2	84823	ENSG00000176619	Q03252
LMNL1			
LMNL2			
LMNTD1	160492	ENSG00000152936	Q8N9Z9
LMNTD2	256329	ENSG00000185522	Q8IXW0
LMNTD2-AS1	692247	ENSG00000254815	
LMO1	4004	ENSG00000166407	P25800
LMO2	4005	ENSG00000135363	P25791
LMO3	55885	ENSG00000048540	Q8TAP4
LMO4	8543	ENSG00000143013	P61968
LMO7	4008	ENSG00000136153	Q8WWI1
LMO7-AS1	101927155	ENSG00000261105	
LMO7-IT1			
LMO7DN	729420	ENSG00000178734	F2Z398
LMO7DN-IT1	104326189	ENSG00000223458	
LMOD1	25802	ENSG00000163431	P29536
LMOD2	442721	ENSG00000170807	Q6P5Q4
LMOD3	56203	ENSG00000163380	Q0VAK6
LMP2			
LMP7			
LMTK2	22853	ENSG00000164715	Q8IWU2
LMTK3	114783	ENSG00000142235	Q96Q04
LMX1			
LMX1A	4009	ENSG00000162761	Q8TE12
LMX1A-AS1	102725140	ENSG00000238022	
LMX1A-AS2	105371561	ENSG00000224702	
LMX1B	4010	ENSG00000136944	O60663
LNC-LBCS	100506885	ENSG00000228412	
LNCAROD	101928687	ENSG00000231131	
LNCARSR	102723932	ENSG00000233086	
LNCDAT	116804915		
LNCNEF	101929685	ENSG00000237396	
LNCOC1	100288181	ENSG00000253741	
LNCOG	105369848	ENSG00000257219	
LNCPRESS1	101927721	ENSG00000232301	
LNCPRESS2	101929194	ENSG00000249152	
LNCRI	401296		
LNCSRLR	109729161	ENSG00000240032	
LNCTAM34A	102724571	ENSG00000234546	
LNHR			
LNP1	348801	ENSG00000206535	A1A4G5
LNPEP	4012	ENSG00000113441	Q9UIQ6
LNPK	80856	ENSG00000144320	Q9C0E8
LNX1	84708	ENSG00000072201	Q8TBB1
LNX1-AS1	100873939	ENSG00000250930	
LNX1-AS2	100873955	ENSG00000248494	
LNX2	222484	ENSG00000139517	Q8N448
LOH1CR1	8377		
LOH12CR2	503693	ENSG00000205791	
LOH18CR1			
LOH19CR1			
LONP1	9361	ENSG00000196365	P36776
LONP2	83752	ENSG00000102910	Q86WA8
LONRF1	91694	ENSG00000154359	Q17RB8
LONRF2	164832	ENSG00000170500	Q1L5Z9
LONRF2P1	100421827	ENSG00000266605	
LONRF2P2	100421799	ENSG00000233905	
LONRF2P3	100421809	ENSG00000258420	
LONRF2P4	100421810	ENSG00000258415	
LONRF2P5	115830330	ENSG00000273692	
LONRF3	79836	ENSG00000175556	Q496Y0
LORICRIN	4014	ENSG00000203782	P23490
LOX	4015	ENSG00000113083	P28300
LOXHD1	125336	ENSG00000167210	Q8IVV2
LOXL1	4016	ENSG00000129038	Q08397
LOXL1-AS1	100287616	ENSG00000261801	
LOXL2	4017	ENSG00000134013	Q9Y4K0
LOXL3	84695	ENSG00000115318	P58215
LOXL4	84171	ENSG00000138131	Q96JB6
LPA	4018	ENSG00000198670	P08519
LPAL1	4019		
LPAL2	80350	ENSG00000213071	Q16609
LPAR1	1902	ENSG00000198121	Q92633
LPAR2	9170	ENSG00000064547	Q9HBW0
LPAR3	23566	ENSG00000171517	Q9UBY5
LPAR4	2846	ENSG00000147145	Q99677
LPAR5	57121	ENSG00000184574	Q9H1C0
LPAR6	10161	ENSG00000139679	P43657
LPC1			
LPC2A			
LPC2B			
LPC2C			
LPC2D			
LPCAT1	79888	ENSG00000153395	Q8NF37
LPCAT2	54947	ENSG00000087253	Q7L5N7
LPCAT2BP	100128094	ENSG00000233228	
LPCAT3	10162	ENSG00000111684	Q6P1A2
LPCAT4	254531	ENSG00000176454	Q643R3
LPGAT1	9926	ENSG00000123684	Q92604
LPGAT1-AS1	102723727	ENSG00000229258	
LPGAT1P1	100129398		
LPGP1			
LPI			
LPIN1	23175	ENSG00000134324	Q14693
LPIN2	9663	ENSG00000101577	Q92539
LPIN3	64900	ENSG00000132793	Q9BQK8
LPL	4023	ENSG00000175445	P06858
LPO	4025	ENSG00000167419	P22079
LPP	4026	ENSG00000145012	Q93052
LPP-AS1	100873917	ENSG00000224563	
LPP-AS2	339929	ENSG00000270959	
LPS			
LPXN	9404	ENSG00000110031	O60711
LQT			
LQT2			
LQT3			
LQT4			
LRAT	9227	ENSG00000121207	O95237
LRATD1	151354	ENSG00000162981	Q96KN4
LRATD2	157638	ENSG00000168672	Q96KN1
LRBA	987	ENSG00000198589	P50851
LRCH1	23143	ENSG00000136141	Q9Y2L9
LRCH2	57631	ENSG00000130224	Q5VUJ6
LRCH3	84859	ENSG00000186001	Q96II8
LRCH4	4034	ENSG00000077454	O75427
LRCOL1	100507055	ENSG00000204583	A6NCL2
LRE3			
LRE4			
LRFN1	57622	ENSG00000128011	Q9P244
LRFN2	57497	ENSG00000156564	Q9ULH4
LRFN3	79414	ENSG00000126243	Q9BTN0
LRFN4	78999	ENSG00000173621	Q6PJG9
LRFN5	145581	ENSG00000165379	Q96NI6
LRG1	116844	ENSG00000171236	P02750
LRGUK	136332	ENSG00000155530	Q96M69
LRIF1	55791	ENSG00000121931	Q5T3J3
LRIG1	26018	ENSG00000144749	Q96JA1
LRIG2	9860	ENSG00000198799	O94898
LRIG2-DT	100996251	ENSG00000238198	
LRIG3	121227	ENSG00000139263	Q6UXM1
LRIT1	26103	ENSG00000148602	Q9P2V4
LRIT2	340745	ENSG00000204033	A6NDA9
LRIT3	345193	ENSG00000183423	Q3SXY7
LRMDA	83938	ENSG00000148655	Q9H2I8
LRP1	4035	ENSG00000123384	Q07954
LRP1-AS	105751187	ENSG00000259125	
LRP1B	53353	ENSG00000168702	Q9NZR2
LRP2	4036	ENSG00000081479	P98164
LRP2BP	55805	ENSG00000109771	Q9P2M1
LRP3	4037	ENSG00000130881	O75074
LRP4	4038	ENSG00000134569	O75096
LRP4-AS1	100507401	ENSG00000247675	
LRP5	4041	ENSG00000162337	O75197
LRP5L	91355	ENSG00000100068	A4QPB2
LRP6	4040	ENSG00000070018	O75581
LRP7			
LRP8	7804	ENSG00000157193	Q14114
LRP10	26020	ENSG00000197324	Q7Z4F1
LRP11	84918	ENSG00000120256	Q86VZ4
LRP12	29967	ENSG00000147650	Q9Y561
LRPAP1	4043	ENSG00000163956	P30533
LRPPRC	10128	ENSG00000138095	P42704
LRR1	122769	ENSG00000165501	Q96L50
LRRC1	55227	ENSG00000137269	Q9BTT6
LRRC2	79442	ENSG00000163827	Q9BYS8
LRRC2-AS1	83598	ENSG00000268324	
LRRC2P1	644158		
LRRC3	81543	ENSG00000160233	Q9BY71
LRRC3-DT	100861510	ENSG00000229356	
LRRC3B	116135	ENSG00000179796	Q96PB8
LRRC3C	100505591	ENSG00000204913	A6NJW4
LRRC3DN			
LRRC4	64101	ENSG00000128594	Q9HBW1
LRRC4B	94030	ENSG00000131409	Q9NT99
LRRC4C	57689	ENSG00000148948	Q9HCJ2
LRRC6	23639	ENSG00000129295	Q86X45
LRRC6P1	100420589	ENSG00000254784	
LRRC7	57554	ENSG00000033122	Q96NW7
LRRC7-AS1	105378792	ENSG00000237919	
LRRC8A	56262	ENSG00000136802	Q8IWT6
LRRC8B	23507	ENSG00000197147	Q6P9F7
LRRC8C	84230	ENSG00000171488	Q8TDW0
LRRC8C-DT	400761	ENSG00000231999	
LRRC8D	55144	ENSG00000171492	Q7L1W4
LRRC8E	80131	ENSG00000171017	Q6NSJ5
LRRC9	341883	ENSG00000131951	Q6ZRR7
LRRC10	376132	ENSG00000198812	Q5BKY1
LRRC10B	390205	ENSG00000204950	A6NIK2
LRRC14	9684	ENSG00000160959	Q15048
LRRC14B	389257	ENSG00000185028	A6NHZ5
LRRC15	131578	ENSG00000172061	Q8TF66
LRRC17	10234	ENSG00000128606	Q8N6Y2
LRRC18	474354	ENSG00000165383	Q8N456
LRRC19	64922	ENSG00000184434	Q9H756
LRRC20	55222	ENSG00000172731	Q8TCA0
LRRC23	10233	ENSG00000010626	Q53EV4
LRRC24	441381	ENSG00000254402	Q50LG9
LRRC25	126364	ENSG00000175489	Q8N386
LRRC26	389816	ENSG00000184709	Q2I0M4
LRRC27	80313	ENSG00000148814	Q9C0I9
LRRC28	123355	ENSG00000168904	Q86X40
LRRC29	26231	ENSG00000125122	Q8WV35
LRRC30	339291	ENSG00000206422	A6NM36
LRRC31	79782	ENSG00000114248	Q6UY01
LRRC32	2615	ENSG00000137507	Q14392
LRRC34	151827	ENSG00000171757	Q8IZ02
LRRC34P1	100288378	ENSG00000256371	
LRRC34P2	100420613	ENSG00000250464	
LRRC36	55282	ENSG00000159708	Q1X8D7
LRRC37A	9884	ENSG00000176681	A6NMS7
LRRC37A2	474170	ENSG00000238083	A6NM11
LRRC37A3	374819	ENSG00000176809	O60309
LRRC37A4P	55073	ENSG00000214425	
LRRC37A5P	652972	ENSG00000204173	Q49AS3
LRRC37A6P	387646	ENSG00000230445	
LRRC37A7P	100421589	ENSG00000265158	
LRRC37A8P	100533789		
LRRC37A9P	100533790	ENSG00000271013	
LRRC37A10P	100533791		
LRRC37A11P	342666	ENSG00000214553	
LRRC37A12P	101929254	ENSG00000229259	
LRRC37A13P	106479024	ENSG00000257101	
LRRC37A14P	106479025	ENSG00000215771	
LRRC37A15P	106481796	ENSG00000230069	
LRRC37A16P	651250	ENSG00000267023	
LRRC37A17P	644397	ENSG00000263142	
LRRC37B	114659	ENSG00000185158	Q96QE4
LRRC37BP1	147172	ENSG00000250462	
LRRC38	126755	ENSG00000162494	Q5VT99
LRRC39	127495	ENSG00000122477	Q96DD0
LRRC40	55631	ENSG00000066557	Q9H9A6
LRRC41	10489	ENSG00000132128	Q15345
LRRC42	115353	ENSG00000116212	Q9Y546
LRRC43	254050	ENSG00000158113	Q8N309
LRRC45	201255	ENSG00000169683	Q96CN5
LRRC46	90506	ENSG00000141294	Q96FV0
LRRC47	57470	ENSG00000130764	Q8N1G4
LRRC49	54839	ENSG00000137821	Q8IUZ0
LRRC52	440699	ENSG00000162763	Q8N7C0
LRRC52-AS1	400794	ENSG00000237463	
LRRC53	105378803	ENSG00000162621	A6NM62
LRRC55	219527	ENSG00000183908	Q6ZSA7
LRRC56	115399	ENSG00000161328	Q8IYG6
LRRC57	255252	ENSG00000180979	Q8N9N7
LRRC57P1	100420575	ENSG00000238065	
LRRC58	116064	ENSG00000163428	Q96CX6
LRRC59	55379	ENSG00000108829	Q96AG4
LRRC61	65999	ENSG00000127399	Q9BV99
LRRC63	220416	ENSG00000173988	Q05C16
LRRC66	339977	ENSG00000188993	Q68CR7
LRRC69	100130742	ENSG00000214954	Q6ZNQ3
LRRC70	100130733	ENSG00000186105	Q7Z2Q7
LRRC71	149499	ENSG00000160838	Q8N4P6
LRRC72	100506049	ENSG00000205858	A6NJI9
LRRC73	221424	ENSG00000204052	Q5JTD7
LRRC74A	145497	ENSG00000100565	Q0VAA2
LRRC74B	400891	ENSG00000187905	Q6ZQY2
LRRC75A	388341	ENSG00000181350	Q8NAA5
LRRC75B	388886	ENSG00000178026	Q2VPJ9
LRRC77P	646168	ENSG00000244227	
LRRCC1	85444	ENSG00000133739	Q9C099
LRRD1	401387	ENSG00000240720	A4D1F6
LRRFIP1	9208	ENSG00000124831	Q32MZ4
LRRFIP1P1	101290506	ENSG00000240429	
LRRFIP2	9209	ENSG00000093167	Q9Y608
LRRFIP2P1	100128738		
LRRIQ1	84125	ENSG00000133640	Q96JM4
LRRIQ3	127255	ENSG00000162620	A6PVS8
LRRIQ4	344657	ENSG00000188306	A6NIV6
LRRK1	79705	ENSG00000154237	Q38SD2
LRRK2	120892	ENSG00000188906	Q5S007
LRRK2-DT	107984474	ENSG00000225342	
LRRN1	57633	ENSG00000175928	Q6UXK5
LRRN2	10446	ENSG00000170382	O75325
LRRN3	54674	ENSG00000173114	Q9H3W5
LRRN4	164312	ENSG00000125872	Q8WUT4
LRRN4CL	221091	ENSG00000177363	Q8ND94
LRRN5			
LRRTM1	347730	ENSG00000162951	Q86UE6
LRRTM2	26045	ENSG00000146006	O43300
LRRTM3	347731	ENSG00000198739	Q86VH5
LRRTM4	80059	ENSG00000176204	Q86VH4
LRRTM4-AS1	101927907	ENSG00000234653	
LRS1			
LRSAM1	90678	ENSG00000148356	Q6UWE0
LRTM1	57408	ENSG00000144771	Q9HBL6
LRTM2	654429	ENSG00000166159	Q8N967
LRTOMT	220074	ENSG00000184154	Q8WZ04, Q96E66
LRWD1	222229	ENSG00000161036	Q9UFC0
LSAMP	4045	ENSG00000185565	Q13449
LSAMP-AS1	101926903	ENSG00000240922	
LSFC			
LSG1	55341	ENSG00000041802	Q9H089
LSH			
LSINCT5	101234261	ENSG00000281560	
LSM1	27257	ENSG00000175324	O15116
LSM1P1	100820732	ENSG00000233551	
LSM1P2	106480288	ENSG00000271679	
LSM2	57819	ENSG00000204392	Q9Y333
LSM3	27258	ENSG00000170860	P62310
LSM3P1	100303748		
LSM3P2	100303745	ENSG00000257847	
LSM3P3	647302	ENSG00000225787	
LSM3P4	100130178	ENSG00000250835	
LSM3P5	100303743	ENSG00000260014	
LSM4	25804	ENSG00000130520	Q9Y4Z0
LSM5	23658	ENSG00000106355	Q9Y4Y9
LSM6	11157	ENSG00000164167	P62312
LSM6P1	100129011		
LSM6P2	100462857	ENSG00000257730	
LSM7	51690	ENSG00000130332	Q9UK45
LSM8	51691	ENSG00000128534	O95777
LSM10	84967	ENSG00000181817	Q969L4
LSM11	134353	ENSG00000155858	P83369
LSM12	124801	ENSG00000161654	Q3MHD2
LSM12P1	653122	ENSG00000232024	
LSM14A	26065	ENSG00000257103	Q8ND56
LSM14B	149986	ENSG00000149657	Q9BX40
LSMEM1	286006	ENSG00000181016	Q8N8F7
LSMEM2	132228	ENSG00000179564	Q8N112
LSP1	4046	ENSG00000130592	P33241
LSP1P1	100463528	ENSG00000269099	
LSP1P2	100873967	ENSG00000240665	
LSP1P3	729862	ENSG00000162685	
LSP1P4	654342	ENSG00000143429	
LSP1P5	645166		
LSR	51599	ENSG00000105699	Q86X29
LSS	4047	ENSG00000160285	P48449
LST1	7940	ENSG00000204482	O00453
LTA	4049	ENSG00000226979	P01374
LTA4H	4048	ENSG00000111144	P09960
LTB	4050	ENSG00000227507	Q06643
LTB4H			
LTB4R	1241	ENSG00000213903	Q15722
LTB4R2	56413	ENSG00000213906	Q9NPC1
LTBP1	4052	ENSG00000049323	Q14766
LTBP2	4053	ENSG00000119681	Q14767
LTBP3	4054	ENSG00000168056	Q9NS15
LTBP4	8425	ENSG00000090006	Q8N2S1
LTBR	4055	ENSG00000111321	P36941
LTC4S	4056	ENSG00000213316	Q16873
LTF	4057	ENSG00000012223	P02788
LTK	4058	ENSG00000062524	P29376
LTN1	26046	ENSG00000198862	O94822
LTO1	220064	ENSG00000149716	Q8WV07
LTV1	84946	ENSG00000135521	Q96GA3
LTV1P1	100289220	ENSG00000250219	
LUADT1	106182249	ENSG00000196634	
LUARIS	100506895	ENSG00000231638	
LUC7L	55692	ENSG00000007392	Q9NQ29
LUC7L2	51631	ENSG00000146963	Q9Y383
LUC7L3	51747	ENSG00000108848	O95232
LUC7L3P1	100420198		
LUCAT1	100505994	ENSG00000248323	
LUM	4060	ENSG00000139329	P51884
LUNAR1	104564224	ENSG00000278090	
LURAP1	541468	ENSG00000171357	Q96LR2
LURAP1L	286343	ENSG00000153714	Q8IV03
LURAP1L-AS1	101929467	ENSG00000235448	
LUZP1	7798	ENSG00000169641	Q86V48
LUZP2	338645	ENSG00000187398	Q86TE4
LUZP4	51213	ENSG00000102021	Q9P127
LUZP4P1	101060111	ENSG00000232853	
LUZP6	767558		Q538Z0
LVRN	206338	ENSG00000172901	Q6Q4G3
LW			
